Country,Country_mod,Area_km2
Afghanistan,Afghanistan,652090
Albania,Albania,28748
Algeria,Algeria,2381740
American Samoa,American Samoa,199
Andorra,Andorra,468
Angola,Angola,1246700
Anguilla,Anguilla,91
Antigua and Barbuda,Barbuda,442
Argentina,Argentina,2780400
Armenia,Armenia,29743
Aruba,Aruba,180
Ascension Island,Ascension Island,88
Australia,Australia,7741220
Austria,Austria,83871
Azerbaijan,Azerbaijan,86600
Bahrain,Bahrain,741
Bangladesh,Bangladesh,143998
Barbados,Barbados,434
Belarus,Belarus,207595
Belgium,Belgium,30528
Belize,Belize,22966
Benin,Benin,112622
Bermuda,Bermuda,53
Bhutan,Bhutan,38394
Bolivia,Bolivia,1098581
Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,51197
Botswana,Botswana,582000
Brazil,Brazil,8515770
British Virgin Islands,British Virgin Islands,151
Brunei Darussalam,Brunei Darussalam,5765
Bulgaria,Bulgaria,110879
Burkina Faso,Burkina Faso,274222
Burundi,Burundi,27834
Cambodia,Cambodia,181035
Cameroon,Cameroon,475650
Canada,Canada,9984670
Cape Verde,Cape Verde,4033
Cayman Islands,Cayman Islands,264
Central African Republic,Central African Republic,622984
Chad,Chad,1284000
Chile,Chile,756102
Colombia,Colombia,1138914
Comoros,Comoros,2235
Cook Islands,Cook Islands,236
Costa Rica,Costa Rica,51100
Côte d'Ivoire,Côte d'Ivoire,322463
Croatia ,Croatia,56594
Cuba,Cuba,109884
Cyprus,Northern Cyprus,9251
Czech Republic,Czech Republic,78867
Democratic Republic of the Congo (Kinshasa),Democratic Republic of the Congo,2344858
Denmark,Denmark,42916
Djibouti,Djibouti,23200
Dominica,Dominica,751
Dominican Republic,Dominican Republic,48310
East Timor,East Timor,14874
Ecuador,Ecuador,283561
Egypt,Egypt,1002000
El Salvador,El Salvador,21041
Equatorial Guinea,Equatorial Guinea,28051
Eritrea,Eritrea,117600
Estonia,Estonia,45227
Ethiopia,Ethiopia,1104300
Falkland Islands,Falkland Islands / Malvinas,12173
Faroe Islands,Faeroe Islands,1393
Fiji,Fiji,18274
Finland,Finland,338145
France,France,551695
French Guiana,French Guiana,83534
French Polynesia,French Polynesia,4167
Gabon,Gabon,267668
Georgia,Georgia,69700
Germany,Germany,357375
Ghana,Ghana,238533
Gibraltar,Gibraltar,6
Great Britain (island),Great Britain (island),229848
Greece,Greece,131957
Greenland,Greenland,2166086
Grenada,Grenada,344
Guadeloupe,Guadeloupe,1630
Guam,Guam,549
Guatemala,Guatemala,108889
Guernsey,Guernsey,78
Guinea,Guinea,245857
Guinea-Bissau,Guinea-Bissau,36125
Guyana,Guyana,214969
Haiti,Haiti,27750
Honduras,Honduras,112492
Hungary,Hungary,93028
Iceland,Iceland,103000
India,India,3287263
Indonesia,Indonesia,1904569
Iran,Iran,1648195
Iraq,Iraq,438317
Ireland (island itself),Ireland (island itself),84421
Ireland (Republic of),Ireland,70273
Isle of Man,Isle of Man,572
Israel,Israel,22072
Italy,Italy,301318
Jamaica,Jamaica,10991
Japan,Japan,377915
Jersey,Jersey,116
Jordan,Jordan,89342
Kazakhstan,Kazakhstan,2724900
Kenya,Kenya,580000
Kiribati,Kiribati,726
KSV Kosovo,Kosovo,10887
Kuwait,Kuwait,17818
Kyrgyzstan,Kyrgyzstan,199951
Lao PDR (Laos),Lao PDR,236800
Latvia,Latvia,64589
Lebanon,Lebanon,10400
Lesotho,Lesotho,30355
Liberia,Liberia,111369
Libya,Libya,1759540
Liechtenstein,Liechtenstein,160
Lithuania,Lithuania,65300
Luxembourg,Luxembourg,2586
Madagascar,Madagascar,587041
Malawi,Malawi,118484
Malaysia,Malaysia,329847
Maldives,Maldives,298
Mali,Mali,1240192
Malta,Malta,316
Marshall Islands,Marshall Islands,181
Martinique,Martinique,1100
